Código,Nombre,Descripción,TamanioKb,NumDescargas
1,app5x,Fotos,4.34,24605
2,app8k,Coches,8.84,32733
3,app2i,Animales,1.74,25387
4,app8v,Peliculas,5.29,17305
5,app2k,Caset,2.93,19458
6,app8d,Coches,5.31,25535
7,app1a,Caset,4.60,14337
8,app2p,Institutos,3.49,30132
9,app7c,Discos,8.06,6867
10,app5v,Animales,5.27,456
11,app1w,Ordenadores,10.01,1182
12,app7w,Animales,3.15,306
13,app5m,Coches,5.57,37071
14,app8v,Fotos,10.17,32325
15,app4h,Ordenadores,3.95,38443
16,app2q,Coches,4.39,38468
17,app6d,Animales,5.22,45785
18,app7j,TV,9.33,41081
19,app1u,Caset,2.16,45667
20,app2d,Fotos,3.10,35691
21,app3x,TV,2.72,38500
22,app1f,Ordenadores,9.80,5316
23,app2w,Coches,3.83,41732
24,app2c,Coches,4.56,38410
25,app1k,Animales,5.76,35192
26,app5h,Series,4.74,19742
27,app4r,Peliculas,8.77,1580
28,app1t,Series,1.80,41127
29,app6u,Institutos,2.88,11579
30,app2k,Coches,4.20,14394
31,app1c,Caset,8.01,47454
32,app2d,Series,1.14,5611
33,app6g,Series,8.77,5032
34,app6a,Peliculas,9.57,28724
35,app7j,Peliculas,9.81,44523
36,app4x,TV,4.91,21214
37,app3u,Peliculas,2.71,22892
38,app2h,Caset,8.54,23813
39,app8d,Institutos,7.64,46106
40,app1f,Fotos,1.37,41485
41,app6x,Fotos,9.20,17908
42,app2i,Coches,6.77,16777
43,app2j,Discos,6.04,34417
44,app8g,TV,3.06,6724
45,app1i,Ordenadores,5.09,4545
46,app7l,Series,9.23,14433
47,app7w,Animales,1.76,2969
48,app5d,TV,6.81,22372
49,app7p,Caset,2.70,38565
50,app7t,Caset,4.38,16859
